Sample,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC_1,QC_2,QC_3,QC_11,QC_18,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
Lable,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC,QC,QC,QC,QC,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
neg-M107T317,1197866.066,559099.5414,506455.0533,689884.5949,708661.9086,735423.5425,728718.8352,1107364.679,727899.8876,663047.8083,689470.3395,619485.9325,683266.7342,699076.5866,914207.7623,615446.5531,744947.296
neg-M107T342,156344.8706,1627171.078,1025694.582,653196.9366,577664.4809,605693.4235,617755.0529,535702.148,542980.7566,749402.2666,638737.4998,1189327.809,808132.3924,746138.5399,685151.6666,1104342.534,782478.8468
neg-M107T370,2227567.55,1005273.784,193323.3873,1093232.367,1004476.1,1022820.195,1098552.07,1256890.479,968362.5775,937099.7686,1002206.994,1030511.253,950639.7459,1099086.293,786789.0844,1248066.257,1204172.856
neg-M107T393,1751380.19,1534329.998,744514.5501,1034184.271,2154276.037,1527499.709,868294.5987,1960652.615,1299117.412,759535.7368,1181697.405,1626417.622,804045.334,1034824.999,1326874.78,1402600.9,812131.8877
neg-M107T414,2193732.929,878517.8783,2582701.818,932953.175,2399750.418,1373689.724,1556361.166,1077621.476,1355748.811,983411.4123,1094422.907,1437130.086,918593.3721,1554388.188,848235.4462,1007888.358,1328716.153
neg-M107T452,590515.1378,2289132.078,2278947.691,3549347.32,1911936.335,11244013.02,2198905.188,6231104.861,3714464.704,2160990.973,2921191.066,3776441.265,2837451.352,4268567.436,3027901.582,3876169.499,4188178.238
neg-M107T483,4046105.85,3710810.935,4261977.44,5276396.795,3504301.824,3380863.171,4314027.657,745866.867,3147053.62,3875296.052,3655440.441,3523727.288,13000857.68,6757800.543,4386451.325,6067054.931,9819801.171
neg-M107T5,337776.298,304752.5894,317517.6795,282192.8377,314942.5091,297389.2095,119816.4106,142609.3356,351712.0013,320545.5125,258354.205,262817.7665,297722.507,225383.0085,400636.7189,294964.8927,331542.9363
neg-M108T222,132601.4869,107738.7176,213436.0415,385958.2183,253008.0444,197027.3799,155348.5575,189738.1085,199810.6738,245137.0487,224386.4657,189168.3985,422433.4101,356018.7182,150004.3669,268630.9715,243048.2194
neg-M109T204,7868514.403,5272204.749,8673358.44,12427252.1,9374490.419,14305009.16,4521463.205,4202874.276,4561275.54,5093000.413,5091796.971,1110855.724,1206076.263,1217976.275,1445535.012,1462901.085,1454644.259
neg-M109T223,171643.4153,321293.4322,1033932.896,296074.1795,323123.5049,1111230.456,527745.5386,754071.2811,191748.6829,944428.5749,974668.7794,792720.7847,3635471.405,977275.1993,758009.2069,1166355.39,290602.482
neg-M109T267,1693009.961,425272.3003,314425.4415,971153.4612,363296.8551,352721.5578,955738.2476,306302.2221,893969.0663,385676.6562,593629.3339,840891.4625,952455.6844,453163.3111,1186751.962,747405.8672,403580.5298
neg-M109T297,945839.5587,1554636.286,882525.3361,451690.8378,498779.707,557179.3805,411893.0837,518923.8693,477886.7183,673599.2586,994924.3526,647173.35,886274.7835,936487.6426,354162.3876,675452.1033,922522.9147
neg-M109T315,1203370.574,1124073.712,1304060.008,727698.4689,732693.8673,537672.1091,637401.4461,1186596.082,668719.2246,716689.2533,729435.004,612367.5447,1246651.038,869280.9015,745009.9044,613069.2618,881761.1519
neg-M109T340,696037.8909,3896433.55,2026493.433,1585881.954,822854.9924,1018281.306,1159767.724,570687.3208,510461.059,585943.3322,424222.4329,989571.901,1045977.48,1638826.321,699144.2394,955473.6267,608465.3409
neg-M109T365,594061.4916,828507.53,536447.1967,541502.7819,549757.649,656273.3175,823511.3698,846392.0847,466707.055,1223871.563,831048.2823,538669.0013,831063.7973,835713.3532,596660.1269,1604140.852,911563.5706
neg-M109T386,956387.3922,1120890.813,633777.0827,1000883.953,1495257.966,663321.8681,776816.607,906185.488,1060742.926,825492.7132,980440.1033,728678.4968,917258.5732,1203087.046,1088771.879,648413.2415,1470283.007
neg-M109T408,1243349.584,1109823.103,936768.876,838556.9335,1346346.422,1025006.636,1398120.629,1454139.618,624752.736,1251526.255,1461782.107,1075885.984,909099.741,710374.7092,738674.7249,1403194.714,1502376.04
neg-M109T48,28036748.14,14119739.24,14348822.89,15417431.76,15408625.91,11196550.17,17569027.54,16326940.81,15607560.61,16420667.45,17625128.47,6887965.221,16312113.65,23408956.55,8878994.199,22355499.3,11929582.97
neg-M109T525,20453713.6,14294985.07,34604677.48,24078908.85,18928084.11,29889514.03,21442550.56,21097357.01,26092859,13185597.79,24737135.69,24037392.81,25772006.61,23602627.02,27224602.38,10095201.96,5545431.489
neg-M109T558,604200.9541,630885.9002,625984.1932,804116.408,728935.4511,743227.1993,337822.9443,443214.778,440452.7061,569547.2947,680269.5174,535574.9165,491524.8825,569412.6362,639873.9365,1446644.804,741015.887
